name,April,February,January,June,March,May
Cynthia Nunez,1,1,2,3,1,2
Cynthia Oneal,2,0,3,2,3,0
Cynthia Parker,0,0,3,2,3,0
Cynthia Parsons,1,2,3,3,3,1
Cynthia Peterson,2,3,2,2,3,2
Cynthia Poole,1,2,0,2,3,2
Cynthia Soto,1,3,0,1,0,0
Cynthia Sullivan,2,2,1,3,0,2
Cynthia Turner,2,3,3,3,1,0
Cynthia Villarreal,1,1,3,3,1,3
Cynthia Walker,3,3,1,2,3,0
Cynthia Williams,1,3,1,3,2,0
Cynthia Woods,2,1,2,3,2,0
Cynthia Young,3,2,2,2,0,0
Daisy Tran,1,1,3,3,2,2
Dakota Ford,0,3,3,3,2,1
Dakota Gardner,2,0,2,0,3,2
Dakota Green,3,0,0,0,3,2
Dakota Kelley,0,1,0,1,0,2
Dale Berg,3,1,3,1,3,0
Dale Cohen,3,2,2,1,3,2
Dale Mayer,2,2,3,2,0,1
Dalton Brown,2,3,3,3,2,2
Dalton Leach,0,3,2,0,2,2
Dalton Moore,3,1,1,2,3,2
Damon Garcia,2,0,3,0,2,2
Dana Brown,2,3,0,2,2,2
Dana Brown DDS,0,0,3,2,2,2
Dana Browning,3,1,3,1,2,1
Dana Caldwell,0,1,0,1,0,0
Dana Floyd,2,2,0,2,2,0
Dana Gray,1,1,2,3,2,3
Dana Grimes,2,3,3,0,2,2
Dana Kennedy,3,3,3,2,2,1
Dana Larsen,1,3,2,3,1,3
Dana Martin,0,3,0,3,2,1
Dana Miller,2,2,0,2,1,3
Dana Parker,2,2,2,3,3,0
Dana Patterson,2,3,1,0,0,0
Dana Rivera,1,1,3,1,0,3
Dana Thompson,2,0,1,1,0,2
Daniel Adams,3,0,2,2,2,3
Daniel Alvarez,0,0,0,3,2,0
Daniel Andrews,2,2,2,2,3,0
Daniel Baker,3,3,2,2,1,3
Daniel Barrett,0,2,2,0,2,3
Daniel Bentley,0,3,2,3,0,1
Daniel Blair,0,2,0,0,2,3
Daniel Braun,1,1,1,1,1,1
Daniel Brown,3,4,2,1,5,2
Daniel Burns,0,1,0,2,1,0
Daniel Calderon,2,2,2,1,2,1
Daniel Carey,1,1,3,0,3,2
Daniel Chavez,2,2,1,0,1,0
Daniel Cherry,2,1,0,2,1,3
Daniel Clark,2,3,2,3,1,0
Daniel Collins,0,3,3,3,0,2
Daniel Cortez,0,0,0,0,1,1
Daniel Crawford,1,3,2,2,1,3
Daniel Crawford DDS,0,0,3,3,1,2
Daniel Davis,1,1,3,3,0,2
Daniel Flores,3,3,3,2,4,3
Daniel Grant,2,0,1,2,0,3
Daniel Gray,0,1,3,1,1,1
Daniel Grimes,0,3,2,3,2,3
Daniel Guerrero,4,6,4,3,1,3
Daniel Hardy,3,3,0,1,1,2
Daniel Harrell DDS,1,3,1,1,1,2
Daniel Harris,2,3,3,2,1,3
Daniel Harvey,1,3,3,0,1,2
Daniel Hayes,3,1,0,2,1,0
Daniel Henry,0,3,0,0,1,1
Daniel Hernandez,3,2,2,0,1,3
Daniel Higgins,2,1,1,2,2,2
Daniel Hoffman,0,3,0,0,0,2
Daniel Holland,3,1,3,1,2,1
Daniel Hood,3,0,0,1,0,0
Daniel Hughes,2,0,1,1,3,0
Daniel Hunter,3,1,3,3,2,2
Daniel Hurley,3,2,0,0,2,0
Daniel Jacobs,0,1,3,1,1,3
Daniel Johnson,1,1,1,3,2,2
Daniel Jones,3,2,3,3,1,2
Daniel Juarez,0,1,0,2,3,1
Daniel Keller,2,2,0,3,3,1
Daniel Kelly,2,2,3,3,3,1
Daniel Khan,1,2,3,3,0,3
Daniel Kline,1,2,2,0,2,0
Daniel Krause,1,1,1,3,3,2
Daniel Larson,2,2,1,1,1,3
Daniel Lee,0,0,3,2,1,3
Daniel Little,0,0,3,1,3,3
Daniel Lucero,3,2,3,3,2,3
Daniel Luna,0,3,1,1,2,1
Daniel Martin,0,2,4,4,5,2
Daniel Martinez,3,3,0,1,0,3
Daniel Morton,3,0,0,1,1,0
Daniel Newman,3,3,1,3,1,3
Daniel Parker,0,3,1,0,3,3
Daniel Parsons,0,2,3,2,2,2
Daniel Perez,0,1,0,1,3,3
Daniel Peterson,0,2,0,0,1,2
Daniel Pierce,3,0,3,3,1,3
Daniel Pitts,1,1,2,2,2,2
Daniel Porter,2,2,0,2,1,3
Daniel Rich,2,1,3,2,2,2
Daniel Richardson,1,0,3,2,3,0
Daniel Rios,1,1,0,3,3,2
Daniel Rivera,0,1,0,1,2,2
Daniel Robertson,0,1,1,3,1,3
Daniel Robinson,0,3,3,3,3,2
Daniel Rosales,1,2,2,2,2,2
Daniel Sanchez,0,3,1,2,1,3
Daniel Shaffer,5,3,3,0,5,2
Daniel Shields,3,1,2,1,1,2
Daniel Silva,1,3,3,2,3,1
Daniel Smith,6,2,0,2,4,3
Daniel Stephens,1,3,2,0,3,0
Daniel Sutton,0,1,0,3,1,3
Daniel Thompson,6,0,2,4,0,2
Daniel Vazquez,3,1,0,1,3,3
Daniel Wagner,2,0,1,0,0,1
Daniel Watts,1,0,3,1,3,2
Daniel Wilkins,2,0,2,2,2,2
Daniel Williams,5,5,2,5,3,5
Daniel Zamora,1,0,3,3,0,2
Danielle Bailey,2,3,0,3,1,2
Danielle Cobb,1,3,1,1,2,2
Danielle Cunningham,2,1,2,1,2,1
Danielle Figueroa,1,2,1,2,3,2
Danielle Fox,3,3,2,2,3,1
Danielle Freeman,2,2,0,2,3,2
Danielle Hernandez,3,0,1,3,0,0
Danielle Horne,3,0,0,0,1,1
Danielle Johns,0,1,3,3,1,3
Danielle Lane,0,0,0,1,2,3
Danielle Lynch,2,2,1,1,2,0
Danielle Moore,0,1,0,3,0,3
Danielle Mullen,0,0,3,2,1,1
Danielle Nelson,3,1,3,1,1,0
Danielle Phillips,1,0,2,1,3,0
Danielle Pollard,0,1,3,3,0,3
Danielle Simmons,3,3,1,3,3,1
Danielle Smith,1,3,1,2,0,2
Danielle Wagner,3,0,1,1,1,3
Danielle Wise,3,1,1,1,0,3
Danny Cole,3,3,3,2,0,1
Danny Gilmore,3,0,3,0,3,1
Danny Griffin,0,1,1,1,3,1
Danny Henderson,1,3,1,1,3,3
Danny Johnson,0,2,2,0,2,0
Danny Lewis,1,1,1,3,2,3
Danny Morales,0,2,1,3,1,2
Danny Morgan,1,2,2,0,2,3
Danny Owen,0,2,0,3,1,3
Danny Robinson,1,3,0,0,0,3
Danny Wagner,1,2,2,1,1,3
Darius Johnson,1,2,1,0,3,2
Darlene Stephens,3,0,2,0,3,3
Darrell Brewer,2,2,1,1,1,2
Darrell George,1,3,1,2,1,1
Darrell Hogan,0,3,2,3,1,2
Darrell Long,0,2,1,0,3,3
Darrell Mitchell,3,2,3,0,0,1
Darrell Parker,3,3,1,1,3,0
Darrell Rogers,1,0,3,3,0,0
Darrell Wilson,0,1,3,0,1,0
Darren Brady,1,1,1,3,1,2
Darren Campbell,1,1,1,1,1,0
Darren Howell,2,0,3,2,2,1
Darren Johnson,0,1,1,0,2,1
Darren Thompson,1,0,3,3,0,0
Darren Ward,2,3,2,1,0,3
Darryl Clayton,1,3,2,1,2,2
Darryl Miller,2,1,0,1,2,3
Darryl Stewart DDS,3,3,1,0,2,1
Daryl Farley,0,2,3,1,0,3
Daryl Gray,3,3,3,2,2,1
Daryl Willis,3,2,3,2,2,3
Dave Collins,1,1,2,3,2,0
Dave King,0,2,0,3,1,3
David Adams,1,2,0,1,1,1
David Alvarez,2,3,2,2,4,3
David Anderson,6,2,9,3,5,5
David Anthony,2,1,3,3,3,3
David Barrett,0,0,1,2,0,2
David Bean,2,1,2,2,0,1
David Becker,0,1,2,0,0,0
David Bentley,0,0,0,2,2,0
David Bowman,2,3,1,1,3,0
David Boyd,0,0,1,2,0,1
David Cameron,0,2,3,2,3,3
David Cardenas,2,3,3,1,1,3
David Carpenter,1,3,1,0,3,0
David Carr,2,2,2,0,2,1
David Chang,1,0,2,0,3,1
David Chung,1,0,1,0,1,2
David Coffey,0,0,2,0,1,3
David Collier,1,2,3,2,3,0
David Crosby,0,0,2,2,2,2
David Cuevas DDS,2,1,2,2,1,2
David Delgado,5,3,2,1,4,4
David Flores,1,3,1,3,3,3
David Ford,3,3,2,1,3,3
David Foster,2,1,0,1,1,2
David Fox,0,1,2,0,0,2
David Frazier,0,2,0,1,3,0
David Gibbs,3,3,1,1,3,0
David Gilbert,3,1,1,3,3,2
David Gonzales,0,0,3,1,1,3
David Green,1,2,3,3,1,1
David Grimes,3,3,3,2,3,2
David Hale PhD,3,0,3,1,3,0
David Hampton,2,1,2,3,3,1
David Hansen,5,2,0,3,4,5
David Hanson,0,0,2,0,0,0
David Harmon,3,3,2,0,2,2
David Harris,3,5,4,4,3,3
David Harvey,0,1,1,3,0,0
David Hayes,3,2,0,0,3,0
David Hernandez,6,8,3,5,2,6
David Hess,3,0,2,3,3,1
David Hill,3,3,1,2,1,3
David Holland,0,0,1,3,1,0
David Horne,2,2,3,2,0,0
David Hughes,2,0,1,2,1,3
David Hunter,2,0,1,3,1,1
David James,1,3,2,1,0,1
David Jenkins,3,3,3,2,0,0
David Jennings,2,0,1,1,1,2
David Jensen,3,0,2,2,0,2
David Johnson,0,3,6,3,3,1
David Johnston,2,2,1,3,1,1
David Joseph,1,3,1,3,3,0
David Kelley,3,2,0,2,1,3
David Lang,0,2,0,3,2,3
David Lawrence,3,1,1,1,3,1
David Lee,3,3,0,2,1,1
David Lewis,2,2,3,3,2,1
David Long,3,0,0,0,1,0
David Lopez,1,0,1,2,3,3
David Madden,2,3,3,2,3,1
David Marquez,2,1,1,3,0,1
David Martin,1,0,2,2,3,1
David Martinez,4,4,5,8,3,6
David Mathis,2,3,3,2,1,2
David Maynard,3,3,2,2,3,2
David Mcgee,3,0,2,2,3,0
David Melton,3,3,3,0,2,0
David Mendoza,2,3,0,0,3,1
David Meyer,0,3,1,3,1,2
David Meza,3,1,3,3,3,3
David Miller,0,2,4,5,5,1
David Mills,1,1,3,2,1,1
David Mitchell,1,1,0,1,0,3
David Morales,2,3,1,0,1,1
David Morris,3,0,3,2,1,3
David Murphy,1,1,0,3,3,3
David Myers,0,0,3,3,3,3
David Nelson,3,1,2,3,3,3
David Nguyen,3,4,4,3,2,4
David Obrien,1,2,2,1,2,2
David Oconnell,2,2,3,2,0,0
David Oconnor,2,3,0,0,1,1
David Ortiz,1,3,1,0,1,2
David Owen,2,2,2,1,0,0
David Parker,1,2,1,2,2,2
David Patterson,2,1,2,2,1,1
David Pope,1,0,2,3,1,3
David Price,1,1,3,1,2,2
David Prince,3,0,2,3,3,2
David Quinn,2,3,0,3,1,3
David Ramirez,3,0,2,1,5,1
David Ramos,2,3,1,3,3,1
David Reyes,2,5,3,3,2,2
David Riley,3,2,3,3,0,0
David Rios,2,2,1,1,3,3
David Romero,1,3,1,3,2,3
David Roth,1,3,0,0,1,0
David Rubio,1,1,3,2,1,0
David Sanchez,1,0,0,3,1,1
David Silva,1,0,3,2,0,2
David Sims,0,1,5,4,2,5
David Smith,10,10,10,17,14,5
David Solis,3,3,3,2,3,2
David Sullivan,0,1,1,2,0,1
David Taylor,1,3,1,0,1,3
David Terry,2,1,2,2,0,2
David Thomas,0,0,1,3,3,1
David Thompson,0,2,2,1,0,3
David Torres,2,3,0,3,1,2
David Tucker,2,1,0,0,0,2
David Vargas,3,3,2,2,3,3
David Velazquez,2,2,2,3,0,3
David Walker,3,0,1,3,0,3
David Walsh,2,2,3,1,1,1
David Waters,2,1,3,3,0,3
David Wells,3,1,3,2,3,2
David West,0,1,3,1,0,0
David Wheeler,0,3,0,1,2,2
David Willis,3,3,2,3,2,1
David Wilson,2,2,5,4,4,4
David Woods,2,1,2,0,0,0
David Wyatt,2,2,0,2,0,1
David Young,6,1,6,4,3,1
David Zavala,3,4,5,3,2,3
Dawn Blake,2,2,0,2,0,2
Dawn Buckley,2,2,2,3,2,1
Dawn Chan,3,2,0,2,1,2
Dawn Davies,1,1,0,3,0,2
Dawn Dickson,0,1,1,2,1,0
Dawn Gutierrez,2,1,1,1,3,1
Dawn Johnson,3,2,3,1,2,2
Dawn Lee,2,2,1,0,0,0
Dawn Marks,2,2,1,3,1,2
Dawn Mercer,0,0,0,1,2,1
Dawn Miller,2,1,2,2,0,0
Dawn Mills,0,2,1,2,2,1
Dawn Newman,1,2,1,2,3,1
Dawn Nguyen,3,0,3,2,3,0
Dawn Novak,3,1,0,2,3,3
Dawn Perry,2,1,1,2,2,3
Dawn Powers,3,3,2,1,0,0
Dawn Rogers,1,2,1,1,1,0
Dawn Sweeney,1,3,3,1,3,0
Dawn Wallace,3,3,3,3,1,3
Dawn Wilson,0,1,0,3,0,1
Dean Martinez,1,0,1,2,1,0
Dean Ramirez,2,1,1,2,2,2
Deanna Campbell,3,3,2,0,1,0
Deanna Chen,0,2,3,1,2,2
Deanna Dixon,0,1,0,1,2,1
Deanna Jenkins,2,2,1,2,1,2
Deanna Kent,3,0,2,1,1,0
Deanna Mckenzie,2,3,2,3,1,2
Deanna Sanchez,2,1,0,1,1,1
Deanna Wilson,3,3,1,3,1,2
Debbie Evans,3,2,1,1,0,0
Debbie Gilbert,1,3,0,2,0,0
Debbie Hill,3,1,2,0,3,2
Debbie Long,0,2,0,0,2,2
Debbie Novak,0,3,0,1,2,2
Deborah Alexander,2,1,3,3,1,1
Deborah Brown,3,5,2,0,5,2
Deborah Carson,0,3,2,3,0,0
Deborah Delgado,2,1,2,3,3,0
Deborah Ferguson,0,3,1,3,3,0
Deborah Green,1,0,1,0,0,1
Deborah Hanson,1,2,3,0,2,1
Deborah Harrison,1,3,1,1,0,2
Deborah Hayes,2,1,2,2,3,1
Deborah Luna,2,3,3,3,0,2
Deborah Mcclure,3,1,1,1,0,3
Deborah Miller,5,0,3,3,4,3
Deborah Moore,3,0,1,1,2,3
Deborah Morgan,1,0,1,3,2,1
Deborah Pierce,3,0,3,0,3,0
Deborah Pitts,2,2,1,1,3,1
Deborah Rios,2,3,1,1,3,2
Deborah Rocha,0,0,3,1,0,1
Deborah Ross,0,3,3,0,3,1
Deborah Simmons,3,3,1,1,0,0
Deborah Taylor,1,1,3,3,3,2
Deborah Vasquez,0,3,1,2,3,1
Deborah Vega,1,3,3,3,3,3
Deborah Walters,1,2,0,3,3,0
Deborah Wilkins,2,3,0,0,3,0
Debra Acevedo,0,2,0,3,2,0
Debra Bailey,0,3,0,0,2,3
Debra Cantu,3,0,3,2,3,3
Debra Evans,0,2,2,3,1,2
Debra Faulkner,2,1,1,3,1,1
Debra Jones,3,2,1,2,1,0
Debra Mcdonald,0,2,2,3,0,2
Debra Mckinney,2,0,3,1,2,3
Debra Miller,3,6,5,3,4,4
Debra Moore,1,1,1,1,0,3
Debra Moreno,2,1,0,1,3,3
Debra Rodriguez,0,1,1,1,3,2
Debra Shaw,3,2,0,3,1,2
Debra Smith,1,1,0,2,1,3
Debra Wells,3,2,2,3,3,2
Debra White,1,1,1,2,2,3
Denise Bryant,3,1,3,3,3,1
Denise Carlson,0,3,0,3,0,0
Denise Carpenter,1,1,1,2,3,1
Denise Cole,3,3,3,3,2,1
Denise Daugherty,2,0,1,1,1,1
Denise Davenport,1,1,0,1,3,0
Denise Green,2,1,0,1,2,1
Denise Hamilton,3,0,2,1,1,0
Denise Hammond,2,3,3,1,1,0
Denise Hawkins,1,3,1,2,3,2
Denise Henderson,2,1,0,3,3,1
Denise Howe,1,1,0,2,0,0
Denise Hudson,1,2,2,3,3,3
Denise Johnson,2,1,3,2,0,2
Denise Kennedy,0,1,3,0,0,2
Denise Mann,1,1,0,1,2,3
Denise Marshall,2,3,0,2,0,3
Denise Mills,1,2,3,3,1,3
Denise Nelson,2,2,0,3,3,1
Denise Quinn,1,1,1,1,3,1
Denise Robinson,1,2,2,1,1,0
Denise Rush,3,1,3,0,1,2
Denise Smith,0,3,2,3,1,0
Denise Wade,2,1,3,3,0,0
Denise White,1,0,3,1,2,3
Denise Williams,2,1,2,1,3,0
Dennis Adams,1,2,3,0,3,0
Dennis Andrews,3,0,0,2,0,1
Dennis Compton,0,2,3,1,3,0
Dennis Davis,1,3,3,1,0,2
Dennis Flores,3,0,3,3,3,3
Dennis Flynn,2,1,1,2,3,2
Dennis Hernandez,3,1,1,3,2,3
Dennis Hickman,3,3,1,0,0,2
Dennis Miller,0,3,2,0,0,0
Dennis Moran,3,0,2,3,2,3
Dennis Morris,0,3,1,0,0,3
Dennis Morrow DDS,2,1,1,3,3,0
Dennis Sanchez,2,1,2,2,1,2
Dennis Smith,0,3,0,1,3,1
Dennis Valdez,1,0,2,3,2,0
Derek Lewis,1,3,0,2,0,3
Derek Maldonado,3,1,0,3,2,1
Derek Martin,0,2,1,2,2,0
Derek Thompson,2,1,2,2,3,2
Derrick Aguilar,3,2,1,2,2,2
Derrick Hart,1,1,2,3,1,2
Derrick Hunt,0,1,0,1,2,1
Derrick Jacobson,0,2,1,2,1,2
Derrick Lee,1,1,3,3,2,1
Derrick Luna,1,3,0,2,3,0
Derrick Malone,2,3,2,1,2,1
Derrick Martinez,0,0,0,1,0,2
Derrick Roberts,2,3,1,1,0,3
Derrick Sharp,3,0,1,2,3,1
Derrick Weeks,0,2,2,2,0,1
Derrick Zimmerman,3,2,2,0,0,1
Desiree Chapman,3,3,0,3,2,1
Desiree Crosby,0,3,3,0,2,0
Desiree Miller,1,3,3,2,1,2
Destiny Sanchez,3,2,3,3,0,0
Devin Cameron,3,1,3,2,1,3
Devin Davis,1,2,3,1,1,3
Devin Hart,0,0,1,0,2,1
Devin Henderson,3,0,1,0,3,2
Devon Thompson,3,1,1,2,2,0
Devon Walls,2,1,1,0,2,2
Devon Wright,0,2,1,0,1,0
Diana Arnold,1,1,0,1,2,2
Diana Barnett,3,2,2,2,3,1
Diana Best,2,2,2,1,2,1
Diana Brown,1,2,4,0,4,4
Diana Carey,0,3,2,2,3,0
Diana Carter,0,3,3,1,1,3
Diana Davis,2,2,0,0,0,1
Diana Dawson,2,0,2,0,2,1
Diana Evans,1,3,1,1,3,2
Diana Fernandez,3,3,0,0,2,2
Diana Fitzpatrick,0,2,3,2,2,1
Diana Pruitt,0,1,3,0,0,1
Diana Ryan,3,2,2,1,0,1
Diana Santos,0,2,3,0,3,0
Diana Walter,3,3,1,1,2,3
Diana Williams,2,3,0,0,1,3
Diane Dennis,2,3,1,3,3,0
Diane Franco,1,1,2,1,3,3
Diane Gill,3,2,3,3,1,2
Diane Hampton,0,1,2,1,0,1
Diane Mueller,2,3,0,3,1,3
Diane Murray,1,2,2,1,3,1
Diane Pollard,2,1,2,2,1,3
Diane Robinson,3,3,3,1,0,0
Diane Turner,1,0,3,2,3,2
Diane Villarreal,2,3,0,2,0,1
Diane Wallace,0,0,0,2,2,3
Dillon Conley,1,3,1,2,1,3
Dillon Davis,1,0,3,1,0,1
Dillon Eaton,1,2,1,1,0,1
Dillon Simmons,0,1,0,2,3,0
Dillon Stewart,1,1,1,2,1,2
Dillon Wise,1,3,2,0,3,1
Dominic Potter,2,0,1,2,3,0
Dominique Castro,1,0,0,0,3,0
Dominique Davis,0,1,0,0,3,0
Dominique Rodriguez,1,1,0,2,0,0
Dominique Rollins,3,1,3,1,3,0
Dominique White,2,0,2,3,2,0
Don Adams,2,1,1,1,0,2
Don Cruz,0,2,3,0,0,1
Don Dominguez,3,1,0,1,2,1
Don Holland,2,0,1,1,1,2
Donald Aguirre,1,3,3,2,2,0
Donald Andersen,1,2,1,3,1,0
Donald Baker,2,3,0,2,1,0
Donald Black,2,3,3,0,2,1
Donald Carter,0,2,2,2,2,0
Donald Cruz,3,1,2,2,3,3
Donald Douglas,3,2,1,2,3,2
Donald Gordon,0,1,0,3,1,1
Donald Hardin,2,2,1,2,0,1
Donald Henry,1,0,2,1,2,1
Donald Hicks,3,0,3,3,3,0
Donald Hoffman,0,0,2,0,1,0
Donald Jacobs,1,1,3,3,0,1
Donald Johnson,1,1,0,3,2,1
Donald Kemp,2,5,1,4,4,6
Donald Mayo,3,1,1,0,0,2
Donald Mccoy,3,0,0,2,0,3
Donald Miller,1,3,3,3,1,0
Donald Mullins,0,1,0,1,3,2
Donald Nelson,1,2,2,3,3,3
Donald Patel,2,3,0,0,3,1
Donald Pruitt,0,0,0,3,2,1
Donald Ramirez,1,2,0,3,2,0
Donald Rich,2,3,0,0,0,3
Donald Simmons,0,1,1,2,2,1
Donald Smith,0,5,2,6,3,4
Donald Tran,3,3,0,2,1,2
Donald Travis,0,1,2,1,1,3
Donald Tucker,3,1,0,1,0,3
Donald Wagner,3,0,3,1,0,1
Donald West,3,3,1,1,1,0
Donald Young,2,3,0,2,2,3
Donna Bailey,3,1,1,2,2,2
Donna Bentley,2,3,3,3,3,0
Donna Carpenter,1,3,3,0,3,3
Donna Diaz,3,1,3,0,3,3
Donna Douglas,2,3,2,2,3,0
Donna Garcia,1,1,3,3,2,0
Donna Hill,0,1,1,3,3,2
Donna Holt,3,3,3,2,1,3
Donna House,1,0,2,0,0,3
Donna Hudson,1,2,0,3,2,2
Donna Hurst,2,0,0,3,2,1
Donna Jones,0,2,0,2,3,2
Donna Kennedy,0,2,0,1,3,1
Donna Mays,0,0,3,3,2,3
Donna Murphy,2,1,1,0,1,3
Donna Porter,0,3,3,1,0,3
Donna Suarez,2,3,2,1,1,3
Donna Thompson,1,2,0,0,2,3
Donna Tucker,1,0,3,1,3,3
Donna Vincent,0,0,3,3,3,0
Donna Weeks,3,3,0,3,3,3
Doris Hendricks,3,3,0,2,1,3
Doris Smith,2,2,0,0,1,1
Doris Wheeler,1,3,2,3,0,3
Dorothy Chambers,3,3,1,0,1,1
Dorothy Edwards,0,2,2,0,3,0
Dorothy Gould,1,1,0,0,0,3
Dorothy Shelton,1,2,1,3,3,2
Douglas Black,2,3,0,0,3,3
Douglas Dunn,1,3,0,1,1,2
Douglas George,0,1,0,3,1,1
Douglas Gomez,2,1,2,2,2,1
Douglas Harrell,2,3,3,2,1,3
Douglas Harrington,3,2,0,1,1,1
Douglas Hawkins,1,6,2,4,3,3
Douglas Jones,5,5,5,5,6,5
Douglas Krueger,1,2,3,1,2,1
Douglas Lindsey,0,2,3,2,3,2
Douglas Monroe,3,2,2,3,1,0
Douglas Robbins,2,3,1,2,1,1
Douglas Simpson,1,3,0,2,1,1
Douglas Smith,2,0,1,0,0,3
Douglas Thompson,1,3,2,2,2,3
Douglas Ward,3,3,0,2,0,1
Douglas White,1,0,2,0,0,1
Douglas Woods,2,0,3,0,3,1
Douglas York,1,2,2,3,3,3
Douglas Young,3,3,2,2,0,2
Dr. Adam Ross MD,1,3,0,1,0,1
Dr. Adrienne Garcia DDS,2,1,1,2,3,0
Dr. Alisha Thomas,0,1,2,0,3,3
Dr. April Fletcher,3,1,0,1,3,3
Dr. Ashley Mitchell,3,3,0,1,0,3
Dr. Benjamin Reeves,1,1,0,1,0,0
Dr. Cheryl Flynn,0,2,0,3,0,2
Dr. Christopher Cervantes,2,3,0,2,2,3
Dr. Christy Wheeler PhD,0,1,2,0,3,3
Dr. David Smith,3,3,0,1,1,3
Dr. Denise Burnett,1,1,1,0,2,3
Dr. Edward Osborne,1,3,0,0,2,2
Dr. Eric Ibarra,1,3,2,1,2,0
Dr. Gina Rasmussen,2,1,3,3,2,3
Dr. Gina Singh,1,1,3,0,1,1
Dr. Holly Jennings,1,3,2,1,2,0
Dr. James Costa Jr.,3,2,1,2,1,1
Dr. Jennifer Brown,2,2,0,3,1,2
Dr. Jerry Schultz,1,0,2,3,0,0
Dr. Johnny Farmer,2,3,3,0,3,3
Dr. Johnny Whitney MD,3,1,2,0,3,2
Dr. Katherine Johnson,1,3,2,2,0,1
Dr. Kimberly Anderson PhD,0,0,2,1,3,0
Dr. Kimberly Hensley DVM,0,1,1,1,1,0
Dr. Kristen Hart,2,2,3,2,3,2
Dr. Kristine Lynch DDS,1,0,1,3,1,2
Dr. Lindsay Hall,3,0,0,2,1,3
Dr. Lisa Shaw,0,0,1,1,2,0
Dr. Lorraine Norman DVM,2,0,0,0,0,2
Dr. Marcia Maldonado,2,0,2,3,1,3
Dr. Margaret Harrison PhD,2,2,2,2,1,2
Dr. Maria West,3,1,1,1,1,3
Dr. Michael Drake,3,1,0,2,2,1
Dr. Michael Nelson,1,0,1,3,2,2
Dr. Monica Kim MD,3,3,2,2,0,0
Dr. Natasha Wood,0,0,1,3,0,2
Dr. Nathan Morris,3,2,3,2,1,2
Dr. Nathan Roberts,1,3,0,2,3,3
Dr. Paul Bowman,1,0,1,3,1,1
Dr. Richard Booth,2,1,0,2,1,0
Dr. Scott Bowman,1,1,2,3,3,1
Dr. Stephanie Carrillo,3,0,1,3,0,2
Dr. Stephanie Diaz,3,1,3,1,0,1
Dr. Steven Johnson,1,1,2,2,2,2
Dr. Steven Russell,1,1,1,3,1,1
Dr. Susan Ballard,0,0,2,1,1,3
Dr. Thomas Donovan,3,0,0,3,0,0
Dr. Thomas Sweeney,1,3,3,1,3,1
Dr. Travis Alvarez,3,3,3,0,0,0
Dr. Tyler Benitez,1,1,3,1,3,2
Dr. Zachary Dickson,2,1,3,1,1,3
Drew Carter,3,3,2,2,2,0
Drew Chaney,2,1,2,2,3,3
Drew Fitzpatrick,0,3,0,0,1,3
Drew Griffin,2,2,1,2,1,3
Duane Perez,1,1,1,1,1,3
Duane Ryan,3,0,1,2,2,0
Dustin Bates,0,3,1,1,0,3
Dustin Brennan,0,2,2,3,1,2
Dustin Brown,1,0,3,0,2,2
Dustin Carroll,2,1,2,3,0,2
Dustin Joseph,3,2,0,3,0,0
Dustin Morrison,0,3,1,3,1,2
Dustin Perkins,2,0,1,3,3,0
Dustin Rodgers,0,1,2,2,3,3
Dustin Shaw,2,1,2,1,0,1
Dustin Wilson,2,2,3,0,1,2
Dwayne Fuentes,2,3,1,1,3,2
Dwayne Hopkins,3,0,1,2,1,3
Dwayne Miller,1,0,3,0,2,2
Dylan Adams,2,1,2,1,3,2
Dylan Castillo,0,2,1,3,0,0
Dylan Gutierrez,2,1,0,0,3,0
Dylan Hutchinson,2,1,1,2,1,1
Dylan Jenkins,0,3,0,1,2,0
Dylan Miller MD,1,0,2,1,2,0
Dylan Smith,1,0,0,2,1,0
Dylan Stone,0,1,1,2,0,2
Dylan Swanson,2,1,1,2,0,1
Dylan Taylor,3,3,2,3,2,2
Dylan Tucker,0,3,0,2,0,0
Dylan Vang,1,1,1,2,3,0
Earl Gonzalez,3,0,2,1,0,3
Earl Shepard,1,2,2,1,0,0
Eddie Anderson,3,1,3,3,2,2
Eddie Barajas,1,3,1,1,0,2
Eddie Martinez,2,2,3,1,0,2
Eddie Padilla,2,2,0,2,1,3
Eddie Perry,1,3,2,0,2,2
Edgar Bray,1,0,2,1,1,0
Eduardo Jones,3,2,0,3,3,3
Eduardo Riley,3,2,3,2,3,3
Edward Barr,0,3,1,2,0,3
Edward Bradley,1,0,0,1,3,0
Edward Calderon,0,1,1,1,3,2
Edward Clark,2,3,1,3,2,1
Edward Delgado,1,0,0,3,0,3
Edward Gallagher,3,3,2,1,0,3
Edward Golden,1,3,1,3,2,3
Edward Goodwin,2,0,2,2,1,3
Edward Griffin,2,1,1,1,0,1
Edward Holland,3,0,0,2,0,2
Edward Johnson,1,1,2,3,3,0
Edward Lee,3,3,2,0,2,3
Edward Lewis,0,1,1,2,0,0
Edward Miller,4,4,0,5,5,3
Edward Perez,2,2,2,1,2,0
Edward Rivera,2,3,0,2,0,1
Edward Russell,0,0,3,2,3,2
Edward Wright,2,2,1,0,3,0
Edward Young,3,3,0,2,1,2
Edwin Browning,2,3,3,0,3,2
Edwin Carter,3,2,0,1,2,1
Edwin Dodson,1,3,0,3,2,1
Edwin Henry,2,2,3,3,0,2
Edwin Mann,3,2,3,3,2,2
Edwin Ramsey,3,0,1,3,1,1
