,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Dustin Joseph,patricia42,6392,7695,0,13293,0,0
Dustin Morrison,juarezkevin,0,12803,150,11572,3594,650
Dustin Perkins,megancortez,7140,0,1047,19940,6137,0
Dustin Rodgers,cooperbrandon,0,8300,13373,7485,15465,14211
Dustin Shaw,moniquebrown,5645,5094,9383,3990,0,1599
Dustin Wilson,sarah04,17089,23858,10592,0,10470,2097
Dwayne Fuentes,johnosborne,11940,17241,2799,4197,11176,9975
Dwayne Hopkins,james01,8465,0,1000,6843,11766,8545
Dwayne Miller,greenkatherine,1896,0,3298,0,9763,10068
Dylan Adams,glendajames,10047,650,7396,5995,4497,11766
Dylan Castillo,hickswhitney,0,4240,2198,23859,0,0
Dylan Gutierrez,sylvia19,900,5196,0,0,7185,0
Dylan Hutchinson,kevinbell,9972,1199,1699,10570,7000,8560
Dylan Jenkins,jason77,0,16270,0,7866,6540,0
Dylan Miller MD,danielle86,5279,0,12105,199,5544,0
Dylan Smith,jessicaholland,1047,0,0,4495,4000,0
Dylan Stone,smithjason,0,2500,4699,3895,0,4749
Dylan Swanson,rjones,6698,5346,4494,7296,0,11073
Dylan Taylor,rachel81,12964,11143,12055,22915,8343,2900
Dylan Tucker,elliskathryn,0,3849,0,13308,0,0
Dylan Vang,hardyjessica,799,3000,4897,6145,11028,0
Earl Gonzalez,ksmith,21789,0,9796,6649,0,14863
Earl Shepard,tortiz,7186,15246,10709,1500,0,0
Eddie Anderson,deanna18,16182,500,5295,4747,15075,4545
Eddie Barajas,michellerobinson,6093,8942,8597,2048,0,6500
Eddie Martinez,chenwalter,2799,4789,13490,11357,0,2249
Eddie Padilla,mshort,9847,6744,0,7869,8958,15196
Eddie Perry,manderson,5596,4698,3397,0,9495,8493
Edgar Bray,seth25,2000,0,1050,8960,2796,0
Eduardo Jones,robertsonjennifer,16800,10093,0,14125,17440,13558
Eduardo Riley,jonesheather,13821,2195,11397,6495,12096,26455
Edward Barr,aroman,0,8093,8490,12457,0,13033
Edward Bradley,julie33,5677,0,0,4897,10244,0
Edward Calderon,jwilson,0,5588,2598,5186,7043,7098
Edward Clark,ifoster,9659,8192,2899,24651,7593,897
Edward Delgado,tpittman,4547,0,0,10188,0,9069
Edward Gallagher,kevinho,15742,7075,14294,5575,0,15909
Edward Golden,alan89,1500,9447,8766,21243,6789,14886
Edward Goodwin,seanhale,8867,0,13794,3796,4897,5894
Edward Griffin,bstevens,9891,10965,1000,2940,0,3000
Edward Holland,whitneymatthew,11392,0,0,12090,0,12962
Edward Johnson,amberjackson,898,398,5294,17056,15637,0
Edward Lee,ogardner,17390,14203,13382,0,2897,12990
Edward Lewis,kerrtony,0,199,747,17688,0,0
Edward Miller,copelandlindsay,2450,5693,0,8986,15439,13091
Edward Miller,robersonjonathan,13265,4975,0,16602,4390,0
Edward Perez,maydavid,8197,9193,10696,597,12390,0
Edward Rivera,tylerhogan,7598,13187,0,4292,0,4693
Edward Russell,sotojuan,0,0,18745,10042,6283,1047
Edward Wright,uking,10764,17245,4500,0,13367,0
Edward Young,david99,16471,12440,0,10295,9365,15942
Edwin Browning,mjohnson,14584,9179,11796,0,21000,19044
Edwin Carter,hansendavid,15387,20362,0,2799,5645,8598
Edwin Dodson,ricardorichardson,10558,13872,0,18112,5494,4800
Edwin Henry,blam,18752,8067,20952,14955,0,20110
Edwin Mann,vpratt,10578,5248,13883,12965,3846,3000
Edwin Ramsey,bryan22,19425,0,4776,14176,7990,11857
Edwin Richardson,debbiereed,5098,20842,0,7800,14807,0
Edwin Smith,charlotte36,0,5296,7678,16955,7584,3398
Edwin Smith,lbradford,0,5895,150,6098,16254,9858
Eileen Galvan,bbonilla,0,11967,17463,5577,5644,18240
Eileen Johnson,imoore,14392,8269,7984,12858,20135,20533
Eileen Maddox,sarahallen,3992,2988,22512,10889,7090,14154
Elaine Miller,mshannon,300,8568,5088,150,3000,3196
Elijah Collins,freynolds,4650,3048,0,0,0,13676
Elijah Forbes,reyessteven,3897,2397,0,6799,11389,9340
Elijah Harper,wmontes,9897,398,8844,0,0,6377
Elijah Pennington,eaustin,0,15767,9796,10796,398,9460
Elijah Underwood,michellereynolds,0,19223,0,12073,0,1500
Elijah Wright,lisamiller,9304,5970,15793,6567,0,0
Elizabeth Acosta,franklin93,16352,0,14659,4735,11359,11987
Elizabeth Allen,udelgado,0,10518,0,0,0,0
Elizabeth Allen,wknox,11465,600,7495,9567,10206,0
Elizabeth Archer,noah75,6199,0,0,0,30806,799
Elizabeth Austin,jackwhite,0,14764,2697,6196,0,747
Elizabeth Banks,kirbyelizabeth,0,0,0,0,10787,1000
Elizabeth Barnes,laura75,11134,1696,2095,0,15253,14958
Elizabeth Barry,christophereverett,0,3196,0,0,0,25235
Elizabeth Bradley,lindasmith,0,16491,3297,5547,0,0
Elizabeth Cannon,marshalljamie,13272,0,5598,6769,10794,18375
Elizabeth Carr,boothpatty,4800,18418,22274,0,0,6894
Elizabeth Carter,hollylawson,8517,0,0,3496,13794,4795
Elizabeth Clay,eherrera,0,0,0,597,11263,0
Elizabeth Collins,douglasmichael,25413,5179,150,11689,0,0
Elizabeth Cox,bcrane,1194,2949,14989,14538,12893,22434
Elizabeth Delacruz,hintoncassandra,16756,5299,7543,4500,17602,14836
Elizabeth Diaz,shawn28,0,13513,0,10397,5580,649
Elizabeth Edwards,martinezdana,4595,10357,0,10341,6193,8392
Elizabeth Erickson,michellephillips,7094,0,8367,0,0,0
Elizabeth Evans,davidcummings,0,0,0,2695,1996,0
Elizabeth Flores,stanley12,6795,13153,1597,8781,22731,10864
Elizabeth Fuentes PhD,jennygibson,747,12305,4397,0,3000,0
Elizabeth Garcia,robertbradley,13191,0,6594,4694,0,8196
Elizabeth Gomez,anita30,11945,6997,12358,6394,7092,3980
Elizabeth Gonzalez,barajascorey,12985,15017,0,3694,2397,23688
Elizabeth Gonzalez,karenbond,0,12793,5196,13243,500,0
Elizabeth Hall,mkramer,20053,3980,0,11260,9726,12653
Elizabeth Hansen,andrea68,0,4500,13508,0,5970,12249
Elizabeth Harris,xgonzalez,9193,6742,3300,11943,2500,0
Elizabeth Holt,tanya87,0,7686,19443,8696,5300,1050
Elizabeth Howard,oedwards,0,2440,0,0,4547,11459
Elizabeth Jackson,timothy22,21765,10877,0,10589,0,0
Elizabeth Johnson,jameskelly,10594,600,19571,8076,15955,0
Elizabeth Johnson,pwaters,14674,0,3195,12604,0,5141
Elizabeth Jones,pmccann,4694,13725,5048,5279,11666,8691
Elizabeth Kim,breanna19,1500,8493,600,0,5039,15587
Elizabeth Lambert MD,teresaclark,7246,4445,2790,1500,7198,13594
Elizabeth Lawrence,sarahdaniels,7589,18910,10392,17937,698,9460
Elizabeth Lee,adam80,6893,15115,500,12873,23930,0
Elizabeth Martinez,abbottmichael,13357,0,4196,0,11347,17816
Elizabeth Mckinney,kevin50,12285,0,5496,18803,0,4590
Elizabeth Mcmahon,smithjamie,11191,0,5097,0,4393,0
Elizabeth Meadows,stevencarter,0,1145,7960,10089,0,0
Elizabeth Murray,anthony46,19759,2795,0,13817,0,0
Elizabeth Nelson,chadvalenzuela,0,6797,10195,20260,10626,0
Elizabeth Padilla,matthew69,14935,6600,0,2440,0,4280
Elizabeth Peterson,tracy71,0,23862,18347,10771,3297,15263
Elizabeth Randolph,derekjohnson,0,0,9098,12460,0,12743
Elizabeth Reed,nicolechavez,0,12674,0,5584,5196,0
Elizabeth Richardson,richard89,0,8480,12523,0,0,4098
Elizabeth Richmond,anthony65,0,150,0,20802,1047,5795
Elizabeth Rivas,pyoung,0,5496,0,0,3996,15090
Elizabeth Rogers,rogersfrank,0,0,12094,15458,0,0
Elizabeth Rojas,breed,4299,13955,6145,7047,16177,0
Elizabeth Rojas,stephanie30,8367,5545,0,3888,0,8196
Elizabeth Roth,vlopez,5795,11156,10573,0,0,0
Elizabeth Sandoval,nolansharon,11061,3490,8544,10997,4295,5297
Elizabeth Sharp,kenneth09,20560,4483,10209,0,17053,0
Elizabeth Sherman,danarichard,0,0,16540,14990,0,16693
Elizabeth Silva,christensenjose,0,9217,25262,14384,6570,4347
Elizabeth Snyder,janeprice,1000,600,8260,13172,22407,0
Elizabeth Stewart,scottdwayne,12135,4296,0,15402,11213,3000
Elizabeth Sullivan,stephenkelley,18794,7500,2990,8997,0,13439
Elizabeth Sullivan,ysmith,26216,19160,8272,3646,6399,2598
Elizabeth Tanner,stephenhodge,7336,2545,18697,6794,12581,3548
Elizabeth Torres,robert08,0,5845,0,0,0,6293
Elizabeth Tran,marybonilla,4682,0,0,8294,15051,9423
Elizabeth Trujillo,aaron92,0,10759,3597,11945,4094,14759
Elizabeth Vega,jessicarodriguez,10196,4441,1990,14362,12266,0
Elizabeth Werner,fritzkevin,7470,15190,12745,9300,17003,0
Elizabeth Zamora,matthew21,10096,11037,10348,8358,11390,4950
Ellen Alexander,fchapman,5796,6236,9280,0,14486,16520
Ellen Hodge,tstephens,0,0,1546,0,0,9259
Ellen Reed,rogersalbert,8891,4598,0,2149,10776,10837
Ellen Smith,gabrielleneal,7941,2000,0,25914,12357,23430
Emily Anderson,ksimmons,9972,0,8756,11764,5578,0
Emily Beard,amberbarnes,0,13043,8847,8591,4794,0
Emily Benton,curtismichele,0,0,9176,10497,9294,7092
Emily Boyd,mariahfox,5594,11156,6796,398,0,6192
Emily Bradford,shawn90,14889,8568,10708,11640,3348,4494
Emily Brandt,friedmanrhonda,3043,20456,14380,11889,4085,10495
Emily Carter,brian93,0,16334,9269,16384,18666,0
Emily Dixon,gregorygray,0,5146,14941,4786,0,9975
Emily Evans,marialee,0,14470,3196,8909,15525,0
Emily Foster,robert69,0,1099,10043,0,12018,10867
Emily Frye,gjohnson,0,0,13646,6245,12970,14716
Emily Gilbert,smithtony,0,0,796,1000,5346,12689
Emily Gilbert,wferguson,0,16625,0,9166,19571,1000
Emily Green,woodrachel,4994,8942,3086,0,6099,7443
Emily Hawkins,moorevictoria,6693,13930,0,6239,15141,14203
Emily Henry,murphymary,10470,12682,5296,0,7960,4993
Emily Jenkins,taylorwilkerson,7678,2445,7088,13269,1650,7136
Emily Martin,victoriamay,3095,1500,0,13396,15940,9574
Emily Melton,vramirez,14153,7498,17150,6000,17475,20393
Emily Miller,joneswendy,19562,14536,20238,16878,2797,13041
Emily Porter,khughes,4595,5478,0,7294,3346,2898
Emily Roberts,amandawest,26246,16086,12893,17451,7500,2394
Emily Robinson,alex74,9897,8000,13593,0,30037,0
Emily Robinson,kingjennifer,8367,0,500,1500,15384,4498
Emily Schneider,tracey67,0,11288,14767,7297,18859,4799
Emily Smith DDS,dustin61,23389,300,10853,22480,15895,12004
Emily Torres,erickim,21683,9488,5397,9165,7377,13338
Emily Walker,tracigomez,8242,0,796,9744,16347,5347
Emily Watkins,nicholas23,8115,12292,8748,150,1546,0
Emily Weaver,xbates,15127,5594,11868,5693,0,1299
Emily Wells,tina12,5796,12965,6246,0,7990,29891
Emily Willis,francisjocelyn,1396,0,0,3236,5686,2000
Emily Wilson,vstewart,13156,2895,0,750,0,0
Emma Edwards,robertwilson,11104,7176,4592,10055,19799,5994
Emma Garza,tonyfox,7070,13470,12492,0,10495,0
Emma Martin,davissamantha,17012,8977,0,8480,7000,13871
Emma Tucker,crystal12,15339,10480,0,12363,22734,10006
Eric Anderson,shannondavid,17298,18196,11489,10727,0,2797
Eric Ayala,fisherkatherine,5300,799,7895,2397,500,6849
Eric Bishop,mitchelllori,0,9786,15062,0,0,8243
Eric Burch,michaelward,20256,0,0,2844,4894,3300
Eric Castillo,kaitlynrivera,0,0,0,9897,6496,3196
Eric Chandler III,matthewcooper,14288,5970,13496,7216,0,0
Eric Davis,thompsontiffany,20410,0,22765,2397,0,2000
Eric Faulkner,markmclean,13192,13642,15965,14367,12688,950
Eric Freeman,jennifersanchez,17000,5394,7960,3450,0,10944
Eric Garcia,qklein,7186,3548,14976,0,0,0
Eric Garrison,atkinsheidi,15038,11305,11568,19596,5995,0
Eric Gonzalez,lindseyharvey,0,8982,16932,7038,25643,4891
Eric Gordon,alyssa89,6000,6770,13766,0,9490,19185
Eric Guerrero,briananderson,12589,4795,16662,7385,7950,0
Eric Harding,kathyyoung,21064,7960,6292,0,14892,13966
Eric Harris,carlmunoz,150,0,10276,10344,0,0
Eric Harvey,troy16,3497,11444,5397,13839,6368,796
Eric Hickman,taranash,11264,0,9373,2000,5149,0
Eric Johnson,haneymichelle,21527,0,6889,0,1892,5992
Eric Kelly,woodjonathan,8093,2547,13770,8566,2195,11648
Eric Key,kevin99,300,11265,0,9696,0,0
Eric Khan,angela59,3598,5897,500,21767,19101,17687
Eric Kline,kayla42,0,0,3897,5598,6470,4094
Eric Lindsey,saundersbrittany,3150,4295,4483,2189,10395,0
Eric Martin,ggibson,0,0,300,13804,12634,9858
Eric Martin,taylorgilbert,0,0,0,150,8368,11884
Eric Martinez,patrick50,2150,14456,0,26027,0,0
Eric Mitchell,frazieremily,6292,1500,0,0,5944,0
Eric Moss,brownashley,2899,21735,5894,6450,15683,17693
Eric Nelson,amy07,11129,11882,0,1194,9295,0
Eric Odom,joannapowers,0,4594,12294,3300,18168,0
Eric Peterson,xcardenas,12289,4100,11733,14392,8792,6098
Eric Rice,vargaskristine,0,8547,0,12766,9593,1000
Eric Roberts,stephensongrace,5692,5943,0,3980,15953,0
Eric Robertson,fcowan,0,8295,0,2640,6743,0
Eric Robertson,zdavis,0,0,0,13714,14616,2799
Eric Simmons,williamsmiguel,0,13265,20719,9642,150,3445
Eric Stevens,upace,7099,6897,0,0,0,10280
Eric Sweeney,castanedajustin,4796,0,1990,4537,5000,0
Eric Taylor,ohuang,6500,13858,7047,0,10884,11095
Eric Torres,meadowsdoris,4947,0,8769,13995,0,4500
Eric Villarreal,todd90,3795,4196,12387,4698,12676,12498
Eric Walker,anthonywaters,8470,12530,14252,11158,8159,0
Eric Walton,sullivanjohn,0,398,0,3096,8878,3193
Eric Ware,elizabethbaker,3289,17754,15661,0,8496,18506
Erica Alvarez,christina50,6343,9187,18127,9892,0,5186
Erica Berry,kingjulie,4776,7495,9299,300,500,5150
Erica Campbell,nsalinas,13894,13156,6742,17804,0,450
Erica Donovan,samuel68,0,7982,9059,23814,20582,2898
Erica Floyd,zwilliams,13753,11343,5397,0,22597,0
Erica Howard,shirleywiley,14382,1100,0,8296,8794,7748
Erica Johnson,michaeleaton,15493,0,10757,17609,16940,9867
Erica Johnston,angel84,1990,0,0,2950,6794,5196
Erica Jones,twillis,4397,9897,8833,6494,0,13874
Erica Kennedy,craigolson,0,5584,23336,17043,2296,4577
Erica King,erinwright,0,5189,300,0,1500,3240
Erica Rice,tblackburn,3796,17181,18786,0,0,9057
Erica Rios,nancycamacho,4141,13806,0,4197,16874,6495
Erica Ritter,klinejoshua,4897,13684,20797,13083,14560,5186
Erica Ross,anthonymedina,8397,0,14319,8394,14821,14067
Erica Stone,jesselam,0,10293,18591,4196,17198,0
Erica Welch DVM,hoffmanjames,1898,0,6578,13379,0,12904
Erica White,geraldhenry,0,22837,16380,13487,0,4547
Erik Cochran,sierra16,6599,0,5846,1299,1592,6600
Erik Hunter,henrylisa,5597,4344,0,7767,398,0
Erik Johnson,scott53,0,3397,17989,6697,11195,12940
Erik Juarez,ypatterson,3640,21342,9760,5833,0,0
Erik Lambert,avilacaleb,11876,5299,14176,7594,0,14289
Erik Phelps,perezchelsea,14849,6337,0,9566,5896,4246
Erik Sloan,smithkevin,8769,1598,0,3000,8490,4794
Erik Williams,zgolden,18069,5996,3594,13343,6099,1249
Erika Baker,kevin52,0,4650,6995,998,7449,0
Erika Cooper,nfox,3748,13294,2896,7633,5970,9671
Erika Ingram,yjones,0,9175,7866,0,3298,3098
Erika Martin,rachelgarza,12941,300,3395,11446,21253,10145
Erika Miller,barbaraperez,10840,6146,0,0,6488,15766
Erika Monroe,ariasjennifer,8827,9367,0,5000,5976,0
Erin Allen,jacob17,8068,0,199,2544,7419,1500
Erin Carr,jamestaylor,22498,6794,4776,30435,14593,16203
Erin Craig,jonathancowan,8593,0,12832,799,20081,11391
Erin Ferrell MD,susanwilliams,14244,14718,0,0,5686,5196
Erin Garcia,braydan,9790,0,0,199,7997,17887
Erin Gonzalez,andrew59,0,4849,13094,2095,12616,0
Erin Gray,bhines,23895,15259,5746,7430,0,7993
Erin Harper,ctran,2399,0,25840,0,5600,12214
Erin Henry,waltondonald,3388,15485,26114,0,6377,17188
Erin Hernandez,gmorris,10057,0,10997,0,4598,10888
Erin Holloway,crystal38,25095,199,0,150,9485,0
Erin Jennings,craigelliott,11159,0,0,450,12969,3193
Erin Kennedy,seanjones,9098,0,0,9692,17559,18992
Erin Knight,okerr,5792,3588,0,17522,0,3897
Erin Lewis,ibarajas,6779,9696,6500,6196,0,13256
Erin Martinez,leachtara,1598,7237,0,5793,9744,16146
Erin Parker,williamsalexandra,16192,33046,0,9665,0,15502
Erin Russell,jade35,150,9599,24809,0,3135,0
Erin Singh,danielsmith,5980,0,600,0,0,15677
Erin Wright,kristin25,5980,300,15431,8496,0,4696
Ernest Gay,justinsalazar,796,10990,3897,0,0,6897
Ernest Wolfe,zwalker,9552,8120,17137,0,4696,0
Ethan Bryan,matthew99,14535,17750,3199,23469,6688,7496
Ethan Clark,allenmark,12687,0,8916,27658,0,150
Ethan Hall,evansmelanie,3594,7247,16354,9436,13296,3490
Ethan James,mbishop,13759,4197,16357,7896,12592,0
Ethan Morris,beckelaine,14744,14290,6799,15456,0,7569
Eugene Anderson,mossnichole,0,21346,7393,2346,7193,5050
Eugene Jenkins,dannyharris,17682,0,0,13289,0,6299
Eugene Peterson,grantbrian,11367,14288,6894,548,0,0
Evan Collins,anavalenzuela,8593,0,0,300,2697,0
Evan Jones,andersontroy,12764,8199,3980,18239,17641,11578
Evan Ramirez,brownjoshua,8146,8346,0,6091,0,21078
Evan Whitehead,tristanhernandez,19940,0,9190,12377,13351,0
Evelyn Cooper,taylorjoel,8120,0,5596,0,0,0
Evelyn Molina,williamssamantha,15176,7196,0,5196,0,14962
Evelyn Murphy,bshaw,0,8598,1598,0,6289,4546
Evelyn Sims,michaelsmith,0,4678,9547,3693,9319,0
Evelyn Walls,dvillanueva,2694,16486,9795,0,0,12288
Faith Hawkins,jasondiaz,11196,3450,6576,8869,1598,19371
Felicia Coleman,ayalaglen,2697,0,0,0,8480,0
Felicia Erickson,sanchezsharon,9897,2398,5795,19051,0,4430
Felicia Harvey,gillheidi,849,9673,0,13490,4745,20562
Felicia Herman,smithjulie,5799,10693,150,9696,5245,2988
Felicia Hicks,pknox,8294,7593,18698,1996,11984,0
Felicia Hicks,ywilson,17258,3980,4699,17455,6597,14450
Felicia Hill,arose,15514,1796,0,0,11695,6175
Felicia Jackson,jason21,0,0,9326,5646,9460,12898
Felicia Jones,douglascheryl,2149,9663,1595,0,0,0
Felicia Lewis,chad05,12635,25191,0,0,0,2000
Felicia Murillo,kkim,12843,0,12040,9196,4098,5144
Felicia Nelson,stacy68,6693,6543,15753,12045,12816,17356
Felicia Patterson,thomas23,11843,18512,4500,4130,0,0
Felicia Ray,joanna83,18191,15049,0,0,0,13063
Felicia Sims,amandalara,2699,0,0,20566,5496,6567
Felicia Snyder,campbellapril,0,10294,3087,8480,0,16392
Fernando Carter,rmiller,10888,0,0,9290,5150,7173
Fernando Larson,ocordova,6493,10274,0,4598,3980,16335
Fernando Romero,kimberly31,5344,10093,6598,10993,9141,6291
Frances Coleman,omaldonado,4696,5395,800,9476,0,12269
Frances Hester,katherinesullivan,0,7960,4442,8491,9192,22563
Francis Bennett,moralesmichael,8196,300,2598,398,12813,21835
Francis Ramos,cynthiamoore,18192,10274,5130,13281,0,12283
Francisco Clark,brandi70,22352,7297,9157,7292,12565,20983
Francisco Gardner,lopezalec,15486,11294,0,7835,14960,0
Francisco Juarez,ifleming,19146,0,6490,11857,2600,15465
Francisco Thomas,scott08,15392,17104,11755,0,11192,13299
Frank Bailey,rachel52,14159,10606,4796,15046,9388,8185
Frank Baxter,jeremy55,17186,0,15035,0,799,3996
Frank Boyer,ruizsara,8398,12257,2895,0,15293,12073
Frank Combs,lisarichardson,5697,0,13042,0,0,10058
Frank Conner,monique86,10878,450,14260,23465,13292,15441
Frank Gutierrez,wbrandt,4577,398,13805,6992,2896,14296
Frank Hutchinson,tracyhoward,2748,8293,1500,7996,22827,10735
Frank Mccarthy,juan65,19354,10858,5196,0,4794,1598
Frank Mueller,xmaxwell,7786,19480,11332,9367,11763,7960
Frank Munoz,shawnmyers,0,6897,9796,0,3538,13522
Frank Murphy,harmonsusan,3199,5293,5196,21950,9174,597
Frank Peterson,melvin49,26835,0,12195,0,13450,2098
Frank Snow,robert42,14166,11292,9960,0,13593,16404
Frank Turner,timothymurray,16213,0,0,3990,5598,11854
Fred White,douglas28,5336,9299,14268,5000,15694,16477
Frederick Fry,gonzalezryan,2498,1500,13018,18356,4445,12220
Frederick Fuller,rebecca05,13159,7179,398,5894,10295,14961
Frederick Holden,fletcheraaron,7146,10466,2748,0,0,0
Gabriel Barber,oliviaglover,2988,0,0,1896,3349,1598
Gabriel Jones,anthony64,11568,4598,10772,3898,7078,9692
Gabriel Mejia,joseenglish,11892,0,9112,6150,1798,0
Gabriel Murphy,dakota47,19455,15460,8994,7990,15013,19957
Gabriel Perez,ekelley,3490,18742,6970,4598,5294,25332
Gabriel Reilly,frankreese,7188,7696,597,9800,14304,8966
Gabriel Salinas,robert82,0,11982,11769,4500,6294,0
Gabriel Taylor,zdouglas,0,0,4397,4397,7293,13156
Gabriela Hernandez,ikaufman,2896,3345,13834,3144,39694,0
Gabriela Hernandez,ssantos,199,2598,6794,0,5970,11193
Gabriela Riley,umiller,18515,15315,11554,7934,24739,18786
Gabriela Smith,stephensonpeter,22993,20700,0,0,9077,3150
Gabriela Watson,dtaylor,0,0,0,0,7090,11094
Gabriella Ortiz,lopezgary,10083,0,0,7150,5598,0
Gabrielle Braun,whitesteven,3000,11445,3997,2747,1500,17250
Gabrielle Garcia,michaellewis,0,0,4387,0,15465,11269
Gabrielle Garcia MD,brian98,13321,11269,20412,0,0,0
Gabrielle Jacobson,zjohnson,10594,0,17588,1898,0,8847
Gabrielle Palmer,thompsonchase,18999,300,14324,0,3000,0
Gabrielle Quinn,pdavis,7396,0,11316,12524,14037,10690
Gabrielle Robinson,price,0,0,15930,10399,20885,0
Gabrielle Rodriguez,phall,0,0,21315,0,13807,0
Gabrielle Rose,gregory79,5145,21699,3897,9080,8392,150
Gabrielle Yu,torresbrian,7960,0,500,11824,0,0
Gail Adams,deniseknight,0,0,11043,8989,10700,12890
Gail Schmidt,traciwhite,3095,11289,0,5796,22853,14893
Garrett Henson,mrichards,8644,2847,14672,0,0,8143
Garrett Jackson,usandoval,13674,8795,18690,12455,0,10216
Gary Anderson,halljuan,0,0,13547,10400,0,7067
Gary Bennett,travissmith,597,14655,0,7568,0,6000
Gary Edwards DDS,montoyasarah,13579,0,14377,0,8668,11756
Gary Farmer,burkemichael,7595,0,4094,8567,7178,1000
Gary Fisher,ibarrajustin,14664,13868,8883,8784,2498,0
Gary King,benjamingordon,16465,4693,799,6894,11156,11188
Gary King,vsimmons,20114,11357,1595,5085,12441,0
Gary Lindsey,znelson,0,3146,16557,8392,18662,3300
Gary Mccormick,cwood,6145,2197,9176,7636,6194,3795
Gary Mckay MD,phillipserika,0,0,10954,0,5995,14656
Gary Miller,peterross,150,13847,0,7269,8897,6294
Gary Montoya,jenniferwalker,0,0,3446,5284,10598,5347
Gary Mueller,mitchell61,11882,3895,5486,0,9536,15173
Gary Nelson,sarah50,0,4789,14488,1898,9552,18784
Gary Powell,qrivera,7387,12070,15162,0,4998,14895
Gary Richards,aaronwilliams,5970,6548,24325,1949,16133,4500
Gary Rose,boonederrick,0,0,11986,16259,6378,1748
Gary Taylor,ljohnson,6717,0,7185,2598,7078,8397
Gary Vaughn,jamesbrown,4698,9048,1500,11631,0,0
Gary Walton,aramirez,0,0,10595,10954,0,2198
Gary Williams,qkaiser,12555,0,0,10400,3597,12339
Gavin Mason,charles70,10764,12393,8878,1549,0,6098
Geoffrey Cobb,andrew38,7593,13315,9126,9840,500,5379
Geoffrey Stein,uaguirre,11900,0,9993,3980,0,6582
George Baker,greenjason,0,1990,0,16078,6795,13062
George Callahan,tina66,4296,14253,600,7226,18824,13194
George Dunn,carol82,15326,0,14182,8444,7366,9493
George Galvan,cynthia07,12858,6496,5646,6198,0,0
George Hall,gutierrezerin,0,10455,0,7990,0,5477
George Holland,billy95,14285,0,10293,20955,10795,8784
George Hull,zanderson,1990,7587,11158,8970,0,17970
George Morales,znelson,11920,2397,9091,20337,8594,4897
George Nelson,jenkinsclarence,7878,12558,9892,6420,1047,0
George Ortiz,chamberstyler,17529,2299,0,10492,3489,16364
George Ortiz,smithtimothy,14482,0,4094,15407,9135,0
George Parker,hawkinsmatthew,1800,14095,5296,0,15817,6577
George Rose,fjohnson,5395,10130,6270,28229,600,8808
George Simpson,samanthaclark,15109,0,0,3600,0,5480
George Stewart,michael01,0,5847,10480,9555,0,8192
George Thompson,rebeccalowery,5980,6500,7898,5686,0,0
George Wright,joshua90,5397,18243,2100,11271,8393,4588
Gerald Castillo,mark04,16037,12196,12439,0,6897,8779
Gerald Hall,mjohnson,0,19131,5698,2797,10970,0
Gerald Harris,ycampbell,13690,18097,8667,3980,8897,20853
Gerald Herring,mblevins,7098,6485,9068,14860,0,16440
Gerald Moreno,tracythompson,6796,13500,11997,0,0,3000
Gerald Simpson,swhite,10048,6150,3398,4743,4500,11885
Gerald Valencia,sandrabarber,8270,22301,14362,14173,2300,12573
Gilbert Fisher,rebecca00,0,3547,13553,6199,2598,0
Gina Andrews,franklinkathy,12590,8460,7920,0,799,8394
Gina Black,ryanpamela,9291,4899,9157,15053,5595,13364
Gina Brown,christinaayala,0,3196,17286,15291,9960,5887
Gina Jenkins,gwatkins,6395,12653,0,12166,5992,11050
Gina Landry,rcervantes,18760,7848,0,6387,2095,4430
Gina Norman,nsingleton,7960,0,1796,12442,1099,14467
Gina Norris,zwashington,0,0,0,10048,7890,14089
Gina Perry,jimmy82,4500,16057,6075,10868,7097,499
Gina Snyder,beckdavid,3196,597,14786,5779,1598,5897
Gina Solomon,josephmartin,6144,17511,13692,0,0,0
Gina Thomas,oharmon,14951,6799,8043,150,4694,17957
Gina Torres,sberry,2396,7567,8279,19121,0,6643
Glen Rowe,alexis65,16673,0,0,14089,11376,17148
Glenda Chambers,pottercrystal,18156,13439,5395,11857,3600,2737
Glenda Jordan,kevin29,0,4480,15867,21151,5196,7985
Glenda Medina,thomas37,0,0,0,0,8127,0
Glenn Castro,ayalaandrew,12256,398,0,17626,0,5578
Glenn Fitzpatrick,drakechristina,8217,0,0,0,600,11098
Glenn Foster,bradleylittle,12399,0,3949,4397,4687,1197
Glenn Hall,fthompson,4197,21105,12656,9095,10965,10894
Glenn Hayes,joshua76,7194,6398,3397,17650,0,2248
Glenn May,mmills,18256,10596,2940,0,2596,0
Glenn Ramsey,thomassmith,10666,7741,3996,0,0,13348
Glenn Reed,nelsonanthony,450,25493,2397,0,1500,5393
Gloria Clark,farleydaniel,12470,11196,11498,3496,12043,1898
Gloria Gross,uharrington,7296,6796,5098,21940,0,1598
Gloria Hartman,wmerritt,12941,0,14191,0,0,9897
Gloria Rhodes,chorton,4387,7547,10567,11089,11978,13904
Gloria White,vchan,0,10736,0,12698,450,7796
Gordon Allison,christinaturner,2397,2799,17060,16960,450,0
Grace Baker,mitchellhernandez,8718,2694,13952,4995,6597,0
Grace Cunningham,bowens,3588,0,3846,11960,5480,1197
Grace Smith,mmcdowell,2450,4500,0,14497,6796,7098
Grant Hansen,kendraarmstrong,4738,22776,0,7893,4897,9895
